Species,Compound,mean h_bonds,mean_score,|mean_score|
D. tin,BTX,0.8888888889,-7.79,7.79
D. tin,DHQ,0.3333333333,-5.29,5.29
D. tin,PIP,0.3333333333,-5.409090909,5.409090909
D. tin,PTX,0.4444444444,-5.59,5.59
D. tin,SPRO,0.5555555556,-5.16,5.16
D. tin,STX,3,-6.288888889,6.288888889
O. syl,BTX,1.333333333,-7.69,7.69
O. syl,DHQ,0.6666666667,-4.8,4.8
O. syl,PIP,1.111111111,-4.49,4.49
O. syl,PTX,0.4444444444,-5.05,5.05
O. syl,SPRO,0.6666666667,-5.23,5.23
O. syl,STX,3,-6.66,6.66
A. fem,BTX,0.7777777778,-8.98,8.98
A. fem,DHQ,0.4444444444,-5.4,5.4
A. fem,PIP,1.444444444,-5.44,5.44
A. fem,PTX,0.4444444444,-5.65,5.65
A. fem,SPRO,0.4444444444,-5.54,5.54
A. fem,STX,3.888888889,-6.88,6.88
R. cat,BTX,0.6666666667,-8.2,8.2
R. cat,DHQ,0.1111111111,-5.58,5.58
R. cat,PIP,0.5555555556,-5.12,5.12
R. cat,PTX,0.3333333333,-5.7,5.7
R. cat,SPRO,0.3333333333,-5.97,5.97
R. cat,STX,1.888888889,-6.56,6.56